tanggal,curah_hujan_mm,durasi_hujan_jam,status_banjir
2021-10-27,5.4,9.0,0
2021-10-28,17.4,11.0,0
2021-10-29,29.6,18.0,0
2021-10-30,22.7,13.0,0
2021-10-31,12.1,9.0,0
2021-11-01,1.6,7.0,0
2021-11-02,5.5,11.0,0
2021-11-03,2.6,7.0,0
2021-11-04,14.2,13.0,0
2021-11-05,33.1,16.0,0
2021-11-06,6.6,6.0,0
2021-11-07,17.7,13.0,0
2021-11-08,40.9,15.0,0
2021-11-09,3.4,6.0,0
2021-11-10,28.6,13.0,0
2021-11-11,12.7,17.0,0
2021-11-12,27.5,21.0,0
2021-11-13,9.0,15.0,0
2021-11-14,8.9,3.0,0
2021-11-15,25.1,15.0,0
2021-11-16,24.8,15.0,0
2021-11-17,7.2,8.0,0
2021-11-18,6.9,12.0,0
2021-11-19,25.2,18.0,0
2021-11-20,23.7,15.0,0
2021-11-21,0.1,1.0,0
2021-11-22,6.9,9.0,0
2021-11-23,12.0,13.0,0
2021-11-24,29.2,16.0,0
2021-11-25,32.8,12.0,0
2021-11-26,39.0,21.0,0
2021-11-27,10.9,16.0,0
2021-11-28,77.5,23.0,0
2021-11-29,2.8,7.0,0
2021-11-30,0.0,0.0,0
2021-12-01,0.0,0.0,0
2021-12-02,1.7,6.0,0
2021-12-03,13.3,8.0,0
2021-12-04,19.9,14.0,0
2021-12-05,12.8,10.0,0
2021-12-06,14.3,14.0,0
2021-12-07,1.8,6.0,0
2021-12-08,1.2,9.0,0
2021-12-09,11.3,8.0,0
2021-12-10,21.8,15.0,0
2021-12-11,14.7,11.0,0
2021-12-12,3.2,10.0,0
2021-12-13,11.3,12.0,0
2021-12-14,12.0,10.0,0
2021-12-15,4.1,13.0,0
2021-12-16,19.4,15.0,0
2021-12-17,6.0,8.0,0
2021-12-18,33.2,13.0,0
2021-12-19,17.4,15.0,0
2021-12-20,26.7,18.0,0
2021-12-21,5.1,15.0,0
2021-12-22,11.7,10.0,0
2021-12-23,20.5,13.0,0
2021-12-24,5.3,5.0,0
2021-12-25,13.1,7.0,0
2021-12-26,16.4,11.0,0
2021-12-27,11.7,14.0,0
2021-12-28,16.6,13.0,0
2021-12-29,10.8,13.0,0
2021-12-30,0.6,4.0,0
2021-12-31,2.3,4.0,0
2022-01-01,1.0,3.0,0
2022-01-02,5.3,5.0,0
2022-01-03,22.7,19.0,0
2022-01-04,16.6,15.0,0
2022-01-05,4.8,7.0,0
2022-01-06,9.4,8.0,0
